,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,A008010A050a,"멥쌀, 밭벼, 칠분도미, 생것",358 ,14.9 ,9.5 ,1.5 ,0.7 ,73.4 ,0.3 ,0.9 ,9370 ,-,-,(1.33),-,(0.40),(0.41),(0.51),(0),0,0 ,JAPAN('15),27,A008010A050a,"멥쌀, 밭벼, 칠분도미, 생것",6 ,1.3 ,45 ,180 ,120 ,1 ,1.5 ,0.23 ,0.78 ,-,-,-,(0),0,(0),0.4 ,(0),0.24 ,0.03 ,3.4,0.84 ,0.20,-,15 ,(0),(0),JAPAN('15)
,,"Rice, White, Unland rice, 94.4% Milling yield, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Unland rice, 94.4% Milling yield, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A008012A030a,"멥쌀, 새추청벼, 백미, 생것",366 ,12.4 ,6.1 ,0.2 ,0.4 ,80.9 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('06),28,A008012A030a,"멥쌀, 새추청벼, 백미, 생것",4 ,3.8 ,-,46 ,469 ,8 ,-,-,-,-,-,-,0 ,8 ,-,-,-,0.12 ,0.02 ,1.5,-,-,-,-,-,-,농진청('06)
,,"Rice, White, Saechucheongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Saechucheongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A008014A030a,"멥쌀, 수라벼, 백미, 생것",346 ,17.2 ,5.7 ,0.1 ,0.3 ,76.7 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('03),29,A008014A030a,"멥쌀, 수라벼, 백미, 생것",6 ,0.8 ,-,74 ,160 ,17 ,-,-,-,-,-,-,0 ,7 ,-,-,-,0.12 ,0.03 ,1.5,-,-,-,-,-,-,농진청('03)
,,"Rice, White, Surabyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Surabyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A008018A030a,"멥쌀, 일미벼, 백미, 생것",372 ,11.5 ,7.7 ,1.0 ,0.5 ,79.3 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('99),30,A008018A030a,"멥쌀, 일미벼, 백미, 생것",12 ,1.1 ,-,95 ,114 ,11 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.19 ,0.03 ,0.9,-,-,-,-,-,0 ,농진청('99)
,,"Rice, White, Ilmibyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Ilmibyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
31,A008018A060a,"멥쌀, 일미벼, 현미, 생것",354 ,12.5 ,9.0 ,1.0 ,1.3 ,76.2 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('99),31,A008018A060a,"멥쌀, 일미벼, 현미, 생것",10 ,1.7 ,-,248 ,289 ,12 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.35 ,0.06 ,1.2,-,-,-,-,-,0 ,농진청('99)
,,"Rice, Brown, Ilmibyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Ilmibyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,A008019A030a,"멥쌀, 일본산, 백미, 생것",367 ,12.5 ,5.0 ,0.4 ,0.3 ,81.8 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('94),32,A008019A030a,"멥쌀, 일본산, 백미, 생것",1 ,1.0 ,-,39 ,74 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.13 ,0.03 ,0.9,-,-,-,-,-,0 ,농진청('94)
,,"Rice, White, Japan, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Japan, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,A008020A030a,"멥쌀, 일품벼, 백미, 생것",353 ,15.4 ,5.7 ,0.1 ,0.3 ,78.5 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('06),33,A008020A030a,"멥쌀, 일품벼, 백미, 생것",6 ,1.4 ,-,77 ,92 ,5 ,-,-,-,-,-,-,0 ,4 ,-,-,-,0.14 ,0.02 ,0.9,-,-,-,-,-,0 ,농진청('06)
,,"Rice, White, Ilpumbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Ilpumbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
34,A008020A060a,"멥쌀, 일품벼, 현미, 생것",363 ,11.5 ,7.4 ,2.0 ,1.3 ,77.8 ,-,-,-,-,-,-,-,-,-,-,-,0.1 ,0 ,농진청('03),34,A008020A060a,"멥쌀, 일품벼, 현미, 생것",3 ,1.5 ,-,262 ,269 ,24 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.28 ,0.05 ,2.4,-,-,-,-,-,0 ,농진청('03)
,,"Rice, Brown, Ilpumbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Ilpumbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
35,A008022A030a,"멥쌀, 중국산, 백미, 생것",361 ,13.5 ,6.7 ,0.4 ,0.5 ,78.9 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('94),35,A008022A030a,"멥쌀, 중국산, 백미, 생것",1 ,1.6 ,-,44 ,94 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.14 ,0.04 ,1.3,-,-,-,-,-,0 ,농진청('94)
,,"Rice, White, China, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, China, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A008024A030a,"멥쌀, 추청벼, 백미, 생것",373 ,10.8 ,6.7 ,0.6 ,0.5 ,81.4 ,-,5.7 ,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('11),36,A008024A030a,"멥쌀, 추청벼, 백미, 생것",8 ,0.4 ,-,131 ,107 ,3 ,-,-,-,-,-,-,0 ,2 ,-,-,-,0.45 ,0.02 ,1.2,-,-,-,-,-,0 ,농진청('11)
,,"Rice, White, Chucheongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Chucheongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
37,A008024A060a,"멥쌀, 추청벼, 현미, 생것",362 ,12.7 ,6.4 ,2.7 ,1.3 ,76.9 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('99),37,A008024A060a,"멥쌀, 추청벼, 현미, 생것",12 ,1.1 ,-,92 ,263 ,14 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.30 ,0.04 ,1.7,-,-,-,-,-,0 ,농진청('99)
,,"Rice, Brown, Chucheongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Chucheongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
38,A008025A030a,"멥쌀, 큰눈벼, 백미, 생것",375 ,10.6 ,6.3 ,1.0 ,0.7 ,81.4 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('03),38,A008025A030a,"멥쌀, 큰눈벼, 백미, 생것",3 ,1.1 ,-,146 ,144 ,19 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.11 ,0.03 ,2.5,-,-,-,-,-,0 ,농진청('03)
,,"Rice, White, Keunnunbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Keunnunbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
39,A008025A060a,"멥쌀, 큰눈벼, 현미, 생것",371 ,10.5 ,7.3 ,3.0 ,1.3 ,77.9 ,-,-,-,-,-,-,-,-,-,-,-,0.1 ,0 ,농진청('03),39,A008025A060a,"멥쌀, 큰눈벼, 현미, 생것",3 ,1.5 ,-,278 ,295 ,23 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.27 ,0.06 ,2.6,-,-,-,-,-,0 ,농진청('03)
,,"Rice, Brown, Keunnunbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Keunnunbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
40,A008026A030a,"멥쌀, 태국산, 백미, 생것",366 ,12.3 ,7.0 ,0.2 ,0.4 ,80.1 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('94),40,A008026A030a,"멥쌀, 태국산, 백미, 생것",1 ,1.6 ,-,38 ,101 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.07 ,0.03 ,1.5,-,-,-,-,-,0 ,농진청('94)
,,"Rice, White, Thailand, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Thailand, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
41,A008028A030a,"멥쌀, 통일벼, 백미, 생것",375 ,10.3 ,8.3 ,0.6 ,0.6 ,80.3 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('93),41,A008028A030a,"멥쌀, 통일벼, 백미, 생것",11 ,1.2 ,-,112 ,93 ,3 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.22 ,0.03 ,1.8,-,-,-,-,-,0 ,농진청('93)
,,"Rice, White, Tongilhyeongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Tongilhyeongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
42,A008028A060a,"멥쌀, 통일벼, 현미, 생것",362 ,11.1 ,8.9 ,1.6 ,1.2 ,77.2 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('94),42,A008028A060a,"멥쌀, 통일벼, 현미, 생것",2 ,3.5 ,-,232 ,203 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.33 ,0.21 ,2.0,-,-,-,-,-,0 ,농진청('94)
,,"Rice, Brown, Tongilhyeongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Tongilhyeongbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
43,A008030A030a,"멥쌀, 하이아미, 백미, 생것",367 ,12.8 ,5.5 ,0.9 ,0.5 ,80.3 ,-,-,-,-,-,-,-,-,-,-,-,0 ,-,농진청('11),43,A008030A030a,"멥쌀, 하이아미, 백미, 생것",9 ,2.9 ,-,119 ,120 ,9 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.51 ,0.03 ,2.1,-,-,-,-,-,-,농진청('11)
,,"Rice, White, Haiami, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Haiami, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
44,A008031A030a,"멥쌀, 향미벼, 백미, 생것",368 ,12.0 ,7.0 ,0.6 ,0.5 ,79.9 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('97),44,A008031A030a,"멥쌀, 향미벼, 백미, 생것",5 ,1.0 ,-,72 ,113 ,4 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.34 ,0.04 ,2.3,-,-,-,-,-,0 ,농진청('97)
,,"Rice, White, Flavored rice, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Flavored rice, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
45,A008032A030a,"멥쌀, 호주산, 백미, 생것",371 ,11.3 ,6.4 ,0.3 ,0.3 ,81.7 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('94),45,A008032A030a,"멥쌀, 호주산, 백미, 생것",1 ,1.5 ,-,36 ,114 ,2 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.10 ,0.02 ,1.1,-,-,-,-,-,0 ,농진청('94)
,,"Rice, White, Australia, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Australia, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
46,A008033A060a,"멥쌀, 흑미벼, 현미, 생것",356 ,13.5 ,7.59 ,2.31 ,1.29 ,75.31 ,0.67 ,7.6 ,5241 ,2536 ,2705 ,2.21 ,0.93 ,0.50 ,0.78 ,0.93 ,0 ,0 ,0 ,농진청('15),46,A008033A060a,"멥쌀, 흑미벼, 현미, 생것",19 ,0.85 ,113 ,300 ,306 ,4 ,2.01 ,0.179 ,3.680 ,2.13 ,36.14 ,5.81 ,0 ,50 ,0 ,2.80 ,0 ,0.607 ,0.254 ,2.468,0.474 ,0.049 ,4.27 ,38 ,0 ,0 ,농진청('15)
,,"Rice, Brown, Black rice, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Black rice, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
47,A008034A060a,"멥쌀, 흑진주벼, 현미, 생것",369 ,10.3 ,7.9 ,2.6 ,1.5 ,77.7 ,-,7.4 ,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('11),47,A008034A060a,"멥쌀, 흑진주벼, 현미, 생것",23 ,2.5 ,-,373 ,351 ,2 ,-,-,-,-,-,-,0 ,51 ,-,-,-,1.01 ,0.16 ,3.3,-,-,-,-,-,0 ,농진청('11)
,,"Rice, Brown, Heukjinjubyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Heukjinjubyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
48,A008035A030a,"멥쌀, 히토메보레, 백미, 생것",364 ,12.8 ,6.5 ,0.3 ,0.4 ,80.0 ,-,4.6 ,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('11),48,A008035A030a,"멥쌀, 히토메보레, 백미, 생것",7 ,0.5 ,-,100 ,76 ,3 ,-,-,-,-,-,-,0 ,1 ,-,-,-,0.33 ,0.01 ,1.1,-,-,-,-,-,0 ,농진청('11)
,,"Rice, White, Huitomebore, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Huitomebore, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
49,A008036A030a,"멥쌀, 골든퀸3호, 백미, 생것",354 ,15.6 ,6.07 ,0.67 ,0.39 ,77.27 ,0.03 ,0.9 ,5394 ,2455 ,2939 ,0.64 ,0.26 ,0.23 ,0.15 ,0.26 ,0 ,0 ,0 ,농진청('15),49,A008036A030a,"멥쌀, 골든퀸3호, 백미, 생것",4 ,0.25 ,26 ,91 ,73 ,3 ,1.65 ,0.162 ,0.781 ,2.09 ,40.61 ,0 ,0 ,0 ,0 ,0.24 ,0 ,0.069 ,0.028 ,0.953,0.784 ,0.031 ,3.74 ,30 ,0 ,0 ,농진청('15)
,,"Rice, White, Goldenqueen3, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Goldenqueen3, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
50,A008036A060a,"멥쌀, 골든퀸3호, 현미, 생것",356 ,13.3 ,6.16 ,2.01 ,1.29 ,77.24 ,0.50 ,3.9 ,6109 ,2748 ,3361 ,1.93 ,0.78 ,0.48 ,0.67 ,0.78 ,0 ,0 ,0 ,농진청('15),50,A008036A060a,"멥쌀, 골든퀸3호, 현미, 생것",9 ,0.91 ,109 ,270 ,232 ,1 ,1.86 ,0.205 ,2.822 ,5.82 ,54.99 ,0 ,0 ,4 ,0 ,2.48 ,0 ,0.295 ,0.067 ,1.319,0.487 ,0.052 ,2.75 ,57 ,0 ,0 ,농진청('15)
,,"Rice, Brown, Goldenqueen3, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Goldenqueen3, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
51,A008037A030a,"멥쌀, 호품벼, 백미, 생것",354 ,15.8 ,5.91 ,0.73 ,0.36 ,77.20 ,0.04 ,0.8 ,5642 ,2376 ,3266 ,0.70 ,0.30 ,0.25 ,0.15 ,0.30 ,0 ,0 ,0 ,농진청('15),51,A008037A030a,"멥쌀, 호품벼, 백미, 생것",4 ,0.18 ,22 ,88 ,71 ,0 ,1.32 ,0.194 ,1.013 ,2.16 ,34.79 ,0 ,0 ,0 ,0 ,0.52 ,0 ,0.071 ,0.027 ,1.164,0.354 ,0.035 ,2.44 ,27 ,0 ,0 ,농진청('15)
,,"Rice, White, Hopumbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, White, Hopumbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
52,A008037A060a,"멥쌀, 호품벼, 현미, 생것",343 ,16.8 ,6.30 ,1.94 ,1.07 ,73.89 ,0.33 ,3.5 ,6155 ,2780 ,3375 ,1.86 ,0.79 ,0.47 ,0.60 ,0.79 ,0 ,0 ,0 ,농진청('15),52,A008037A060a,"멥쌀, 호품벼, 현미, 생것",10 ,0.82 ,100 ,275 ,224 ,1 ,2.05 ,0.229 ,2.527 ,2.02 ,32.65 ,0 ,0 ,4 ,0 ,2.00 ,0 ,0.264 ,0.071 ,1.682,0.427 ,0.063 ,3.22 ,49 ,0 ,0 ,농진청('15)
,,"Rice, Brown, Hopumbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Rice, Brown, Hopumbyeo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
53,A0090000009a,멥쌀 과자,469 ,2.2 ,3.2 ,15.9 ,0.5 ,78.2 ,-,-,-,-,-,-,-,-,-,-,-,0.6 ,0 ,농진청('03),53,A0090000009a,멥쌀 과자,4 ,0.9 ,-,32 ,11 ,224 ,-,-,-,-,-,-,0 ,-,-,-,-,0.13 ,0.05 ,1.2,-,-,-,-,-,0 ,농진청('03)
,,Rice snack,,,,,,,,,,,,,,,,,,,,,,,Rice snack,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A0090030009j,"멥쌀 과자, 튀밥, 팽화",393 ,5.6 ,8.7 ,3.9 ,1.1 ,80.7 ,-,-,-,-,-,-,-,-,-,-,-,0.2 ,0 ,식약('96),54,A0090030009j,"멥쌀 과자, 튀밥, 팽화",5 ,1.0 ,-,228 ,278 ,74 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.16 ,0.04 ,1.6,-,-,-,-,-,0 ,식약('96)
,,"Rice snack, Puffed rice",,,,,,,,,,,,,,,,,,,,,,,"Rice snack, Puffed rice",,,,,,,,,,,,,,,,,,,,,,,,,,,
55,A0090040009w,"멥쌀 과자, 쌀엿강정, 팽화",395 ,3.5 ,4.11 ,2.13 ,0.30 ,89.96 ,35.58 ,0 ,3787 ,1723 ,2064 ,2.02 ,0.37 ,1.12 ,0.51 ,0.37 ,0 ,0 ,0 ,농진청('16),55,A0090040009w,"멥쌀 과자, 쌀엿강정, 팽화",8 ,0.18 ,13 ,55 ,63 ,4 ,0.88 ,0.120 ,0.513 ,2.08 ,40.46 ,0 ,0 ,0 ,0 ,0.24 ,0 ,0 ,0.032 ,0.331 ,0.031 ,0 ,0 ,19 ,0 ,0 ,농진청('16)
,,"Rice snack, Puffed, Coated with rice syrup",,,,,,,,,,,,,,,,,,,,,,,"Rice snack, Puffed, Coated with rice syrup",,,,,,,,,,,,,,,,,,,,,,,,,,,
56,A0100000001a,"멥쌀 국수, 말린것",340 ,9.8 ,9.1 ,1.5 ,7.0 ,72.6 ,-,-,-,-,-,-,-,-,-,-,-,5.0 ,0 ,농진청('09),56,A0100000001a,"멥쌀 국수, 말린것",27 ,1.0 ,-,254 ,405 ,1964 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.41 ,0.06 ,3.2,-,-,-,-,-,0 ,농진청('09)
,,"Rice noodle, Dry noodle",,,,,,,,,,,,,,,,,,,,,,,"Rice noodle, Dry noodle",,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A0110010009a,"멥쌀떡, 가래떡",213 ,46.4 ,3.71 ,0.37 ,0.72 ,48.80 ,0.09 ,0.7 ,3114 ,1446 ,1668 ,0.36 ,0.13 ,0.16 ,0.07 ,0.13 ,0 ,0.7 ,0 ,농진청('16),57,A0110010009a,"멥쌀떡, 가래떡",10 ,0.14 ,11 ,36 ,29 ,261 ,0.86 ,0.083 ,0.445 ,1.43 ,19.82 ,0 ,0 ,0 ,0 ,0.27 ,0 ,0.007 ,0.013 ,0.074 ,0 ,0 ,0 ,14 ,0 ,0 ,농진청('16)
,,"Rice cake, Garaetteok, Rod shape",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Garaetteok, Rod shape",,,,,,,,,,,,,,,,,,,,,,,,,,,
58,A0110010029a,"멥쌀떡, 가래떡, 흑미",205 ,48.1 ,3.5 ,0 ,0.6 ,47.8 ,-,-,-,-,-,-,-,-,-,-,-,0.6 ,0 ,농진청('07),58,A0110010029a,"멥쌀떡, 가래떡, 흑미",8 ,1.3 ,-,52 ,46 ,226 ,-,-,-,-,-,-,0 ,14 ,-,-,-,0.05 ,0.02 ,0.9,-,-,-,-,-,0 ,농진청('07)
,,"Rice cake, Garaetteok, Rod shape, Black rice",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Garaetteok, Rod shape, Black rice",,,,,,,,,,,,,,,,,,,,,,,,,,,
59,A0110020009a,"멥쌀떡, 개피떡",207 ,48.7 ,4.3 ,0.8 ,0.6 ,45.6 ,-,-,-,-,-,-,-,-,-,-,-,0.4 ,0 ,식약('96),59,A0110020009a,"멥쌀떡, 개피떡",17 ,1.2 ,-,44 ,29 ,155 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.05 ,0.04 ,0.5,-,-,-,-,-,0 ,식약('96)
,,"Rice cake, Gaepitteok, With red bean paste filling",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Gaepitteok, With red bean paste filling",,,,,,,,,,,,,,,,,,,,,,,,,,,
60,A0110020039a,"멥쌀떡, 개피떡, 쑥",206 ,48.8 ,4.5 ,0.8 ,0.7 ,45.2 ,-,-,-,-,-,-,-,-,-,-,-,0.4 ,0 ,식약('96),60,A0110020039a,"멥쌀떡, 개피떡, 쑥",24 ,1.8 ,-,46 ,46 ,157 ,-,-,-,-,-,-,0 ,11 ,-,-,-,0.05 ,0.04 ,0.5,-,-,-,-,-,0 ,식약('96)
,,"Rice cake, Gaepitteok, With red bean paste filling, Mugwort added",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Gaepitteok, With red bean paste filling, Mugwort added",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,A0110030009a,"멥쌀떡, 꿀떡",210 ,48.5 ,3.09 ,1.46 ,0.81 ,46.14 ,7.39 ,1.6 ,2800 ,1295 ,1505 ,1.40 ,0.71 ,0.28 ,0.40 ,0.71 ,0 ,0.6 ,0 ,농진청('16),61,A0110030009a,"멥쌀떡, 꿀떡",25 ,0.38 ,14 ,36 ,18 ,248 ,0.33 ,0.071 ,0.178 ,6.39 ,19.21 ,5.22 ,0 ,0 ,0 ,0.57 ,0 ,0 ,0.012 ,0.181 ,0 ,0 ,0.22 ,19 ,0 ,0 ,농진청('16)
,,"Rice cake, Kkultteok, With honey filling",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Kkultteok, With honey filling",,,,,,,,,,,,,,,,,,,,,,,,,,,
62,A0110050009a,"멥쌀떡, 무지개떡",229 ,42.4 ,3.5 ,0.3 ,0.8 ,53.0 ,-,0.2 ,-,-,-,-,-,-,-,-,-,0.7 ,-,식약('11),62,A0110050009a,"멥쌀떡, 무지개떡",10 ,1.4 ,-,41 ,32 ,277 ,-,-,-,-,-,-,0 ,13 ,-,-,-,0.04 ,0.04 ,0.3,-,-,-,-,-,0 ,식약('11)
,,"Rice cake, Mujigaetteok, Coloful layers",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Mujigaetteok, Coloful layers",,,,,,,,,,,,,,,,,,,,,,,,,,,
63,A0110060009a,"멥쌀떡, 백설기",228 ,42.6 ,3.6 ,0.4 ,0.8 ,52.5 ,-,0.6 ,-,-,-,-,-,-,-,-,-,0.7 ,-,식약('11),63,A0110060009a,"멥쌀떡, 백설기",7 ,1.4 ,-,41 ,33 ,289 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.03 ,0 ,0.2,-,-,-,-,-,1 ,식약('11)
,,"Rice cake, Baekseolgi, Plain",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Baekseolgi, Plain",,,,,,,,,,,,,,,,,,,,,,,,,,,
64,A0110060059a,"멥쌀떡, 백설기, 검정콩",229 ,43.6 ,5.75 ,1.46 ,0.88 ,48.31 ,2.20 ,2.5 ,5334 ,2329 ,3005 ,1.40 ,0.81 ,0.31 ,0.28 ,0.81 ,0 ,0.6 ,0 ,농진청('16),64,A0110060059a,"멥쌀떡, 백설기, 검정콩",19 ,0.63 ,23 ,76 ,116 ,223 ,0.94 ,0.152 ,0.484 ,1.95 ,53.13 ,0 ,0 ,5 ,0 ,0.87 ,0 ,0 ,0.025 ,0.224 ,0 ,0.047 ,18.17 ,22 ,0 ,0 ,농진청('16)
,,"Rice cake, Baekseolgi, Black bean added",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Baekseolgi, Black bean added",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,A0110070059a,"멥쌀떡, 송편 , 검정콩",200 ,49.8 ,6.9 ,0.8 ,1.3 ,41.2 ,-,-,-,-,-,-,-,-,-,-,-,1.2 ,0 ,농진청('01),65,A0110070059a,"멥쌀떡, 송편 , 검정콩",20 ,1.0 ,-,79 ,179 ,463 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.04 ,0.02 ,0.6,-,-,-,-,-,0 ,농진청('01)
,,"Rice cake, Songpyeon, Pine flavored, With black bean filling",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Songpyeon, Pine flavored, With black bean filling",,,,,,,,,,,,,,,,,,,,,,,,,,,
66,A0110070069a,"멥쌀떡, 송편 , 팥",200 ,49.5 ,5.4 ,0.4 ,1.1 ,43.6 ,-,-,-,-,-,-,-,-,-,-,-,1.2 ,0 ,농진청('01),66,A0110070069a,"멥쌀떡, 송편 , 팥",5 ,0.5 ,-,62 ,108 ,466 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.04 ,0.02 ,0.8,-,-,-,-,-,tr,농진청('01)
,,"Rice cake, Songpyeon, Pine flavored, With red bean filling",,,,,,,,,,,,,,,,,,,,,,,"Rice cake, Songpyeon, Pine flavored, With red bean filling",,,,,,,,,,,,,,,,,,,,,,,,,,,
